N;Questions;Type;Caunt;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
1; Müraciətin növü: ;batton;3;📑 Ərizə;📝 Təklif;😡 Şikayət ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Xahiş olunur Adınızı Soyadınızı Atanızın adını  ardıcıllıqla yazın;text;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Təvəllüd (Misal: 10.01.1991);text;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;📞 Əlaqə nömrəsi: (Misal:  070 222 95 16);text;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Cins: ;batton;2;👩🏻 Qadın; 👨🏻 Kişi;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;📍Faktiki yaşadığı ünvan:;text;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;🗺️ Şəhər / Rayon;text;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;✉️  E-poçt;text;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Sosial durum (Və ya mətn yazın 🖊️ ) : ;variable;10;👮👮👮‍♀️️ Dövlət qulluqçusu; 👨‍👨‍🏫 Təhsil işçisi;👨‍⚕ Səhiyyə işçisi;👵🏻🧓🏻 Təqaüdçü;👨‍🎓 Tələbə;👮🏻‍♀️ Din xadimi;🧑‍🌾 Fermer; 🕴🏻Sahibkar;🙅🏻 İşsiz;;;;;;;;;;;;;;;;;;;;;
10;💬 Müraciətin xarakteri :;batton;2;👤 Fərdi; 👥 Kollektiv;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;💬 Müraciətin mövzusu:;variable;18; 👩🏻‍🏫 Təhsil;👩🏻‍⚕️ Səhiyyə;👨🏻‍🎨 Mədəniyyət; 🏭 Sənaye;🏗️ Tikinti;🔏 Özəlləşdirmə;🌳 Ekologiya;💰 Maliyyə;🏦 Bank işi, siğorta;🛻 Rabitə və nəqliyyat;👨🏻‍🏭 Əmək münasibətləri, məşğulluq ;🧷 Sosial təminat( sosial müavinət, təqaüd, sosial yardım, əmək pensiyaları) ;👨‍👩‍👧 Ailə münasibətləri, himayəçilik, qəyyumluq;🧛🏻‍♂️ Vəzifəli şəxslərin sui-istifadə məsələləri;🛠️ Kommunal-məişət xidməti;⛈️ Təbii fəlakətlərlə bağlı məsələlər;🛡️ Humanitar yardım ayrılması;🌽 Kənd təsərrüfatı məsələləri;;;;;;;;;;;;
12;📃 Müraciətin məzmunu: ;text;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Xahişinizə görə şəkillər, videolar, Audio və digər fayllar əlavə edin və sonra bəli və ya Xeyr düyməsini basın (faylları yükləmək istəmirsinizsə);batton;0;Bəli;Xeyr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
